
Host: c2-13.compute.lan

Timers On : Mon Mar  8 09:39:47 2021
Timers Off: Mon Mar  8 09:40:22 2021

Wall Time:       35.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      9.050u      0.400s      0.722w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      9.267u      0.567s      0.578w      1 calls
SAD Guess                           :      9.150u      0.550s      0.569w      1 calls
HF: Form G                          :      5.267u      0.300s      0.304w     11 calls
JK: D                               :      0.017u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.183u      0.017s      0.011w     11 calls
JK: JK                              :      4.800u      0.283s      0.275w     11 calls
PK computes JK                      :      4.783u      0.283s      0.275w     11 calls
JK: AO2USO                          :      0.250u      0.000s      0.015w     11 calls
HF: Form F                          :      0.017u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.017s      0.027w     10 calls
DIISManager::add_entry              :      0.067u      0.017s      0.005w     10 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.004w     10 calls
bMatrix setup                       :      0.033u      0.000s      0.002w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.000u      0.000s      0.001w     10 calls
HF: Form C                          :      0.317u      0.017s      0.017w     10 calls
ccenergy                            :    111.467u     14.117s      8.099w      1 calls
F build                             :      6.250u      0.867s      0.609w     19 calls
Wmbej build                         :     10.467u      1.250s      0.700w     19 calls
C->Wmbej                            :      0.500u      0.133s      0.035w     19 calls
F->Wmbej                            :      5.250u      0.533s      0.350w     19 calls
E->Wmbej                            :      0.950u      0.167s      0.067w     19 calls
X->Wmbej                            :      3.233u      0.317s      0.216w     19 calls
Z                                   :      3.417u      0.383s      0.231w     19 calls
T2 Build                            :     54.417u      7.083s      3.697w     19 calls
BT2                                 :     38.250u      5.333s      2.618w     19 calls
FT2                                 :      4.083u      0.433s      0.268w     19 calls
WmbejT2                             :      4.283u      0.483s      0.285w     19 calls
CT2                                 :      3.317u      0.450s      0.224w     19 calls
cctriples                           :     16.583u      1.217s      1.077w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      9.050u      0.400s      0.722w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      9.267u      0.567s      0.578w      1 calls
| SAD Guess                         :      9.150u      0.550s      0.569w      1 calls
HF: Form G                          :      5.267u      0.300s      0.304w     11 calls
| JK: D                             :      0.017u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.183u      0.017s      0.011w     11 calls
| JK: JK                            :      4.800u      0.283s      0.275w     11 calls
| | PK computes JK                  :      4.783u      0.283s      0.275w     11 calls
| JK: AO2USO                        :      0.250u      0.000s      0.015w     11 calls
HF: Form F                          :      0.017u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.017s      0.027w     10 calls
| DIISManager::add_entry            :      0.067u      0.017s      0.005w     10 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.004w     10 calls
| | bMatrix setup                   :      0.033u      0.000s      0.002w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.000u      0.000s      0.001w     10 calls
HF: Form C                          :      0.317u      0.017s      0.017w     10 calls
ccenergy                            :    111.467u     14.117s      8.099w      1 calls
| F build                           :      6.250u      0.867s      0.609w     19 calls
| Wmbej build                       :     10.467u      1.250s      0.700w     19 calls
| | C->Wmbej                        :      0.500u      0.133s      0.035w     19 calls
| | F->Wmbej                        :      5.250u      0.533s      0.350w     19 calls
| | E->Wmbej                        :      0.950u      0.167s      0.067w     19 calls
| | X->Wmbej                        :      3.233u      0.317s      0.216w     19 calls
| Z                                 :      3.417u      0.383s      0.231w     19 calls
| T2 Build                          :     54.417u      7.083s      3.697w     19 calls
| | BT2                             :     38.250u      5.333s      2.618w     19 calls
| | FT2                             :      4.083u      0.433s      0.268w     19 calls
| | WmbejT2                         :      4.283u      0.483s      0.285w     19 calls
| | CT2                             :      3.317u      0.450s      0.224w     19 calls
cctriples                           :     16.583u      1.217s      1.077w      1 calls

**************************************************************************************
