
Host: d3-15.compute.lan

Timers On : Mon Mar  8 09:45:47 2021
Timers Off: Mon Mar  8 09:46:10 2021

Wall Time:       22.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      8.867u      0.417s      0.741w      1 calls
HF: Form core H                     :      0.133u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.002w      1 calls
HF: Guess                           :      6.833u      0.383s      0.409w      1 calls
SAD Guess                           :      6.550u      0.367s      0.391w      1 calls
HF: Form G                          :      5.317u      0.350s      0.305w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.150u      0.033s      0.010w     11 calls
JK: JK                              :      4.850u      0.317s      0.279w     11 calls
PK computes JK                      :      4.833u      0.317s      0.279w     11 calls
JK: AO2USO                          :      0.233u      0.000s      0.014w     11 calls
HF: Form F                          :      0.050u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.033s      0.026w     10 calls
DIISManager::add_entry              :      0.067u      0.000s      0.005w     10 calls
DIISManager::extrapolate            :      0.100u      0.000s      0.004w     10 calls
bMatrix setup                       :      0.033u      0.000s      0.002w     10 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.001w     10 calls
New vector                          :      0.000u      0.000s      0.001w     10 calls
HF: Form C                          :      0.267u      0.000s      0.016w     10 calls
ccenergy                            :    117.767u     13.117s      7.755w      1 calls
F build                             :      6.617u      0.750s      0.572w     19 calls
Wmbej build                         :     12.083u      1.283s      0.754w     19 calls
C->Wmbej                            :      0.667u      0.100s      0.040w     19 calls
F->Wmbej                            :      6.333u      0.667s      0.396w     19 calls
E->Wmbej                            :      1.117u      0.133s      0.070w     19 calls
X->Wmbej                            :      3.450u      0.317s      0.213w     19 calls
Z                                   :      3.967u      0.317s      0.244w     19 calls
T2 Build                            :     55.500u      6.167s      3.479w     19 calls
BT2                                 :     37.650u      4.217s      2.363w     19 calls
FT2                                 :      4.567u      0.517s      0.291w     19 calls
WmbejT2                             :      4.633u      0.550s      0.290w     19 calls
CT2                                 :      3.717u      0.450s      0.238w     19 calls
cctriples                           :     18.650u      1.283s      1.093w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      8.867u      0.417s      0.741w      1 calls
HF: Form core H                     :      0.133u      0.017s      0.008w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.002w      1 calls
HF: Guess                           :      6.833u      0.383s      0.409w      1 calls
| SAD Guess                         :      6.550u      0.367s      0.391w      1 calls
HF: Form G                          :      5.317u      0.350s      0.305w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.150u      0.033s      0.010w     11 calls
| JK: JK                            :      4.850u      0.317s      0.279w     11 calls
| | PK computes JK                  :      4.833u      0.317s      0.279w     11 calls
| JK: AO2USO                        :      0.233u      0.000s      0.014w     11 calls
HF: Form F                          :      0.050u      0.000s      0.001w     11 calls
HF: Form D                          :      0.033u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.033s      0.026w     10 calls
| DIISManager::add_entry            :      0.067u      0.000s      0.005w     10 calls
| DIISManager::extrapolate          :      0.100u      0.000s      0.004w     10 calls
| | bMatrix setup                   :      0.033u      0.000s      0.002w     10 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.001w     10 calls
| | New vector                      :      0.000u      0.000s      0.001w     10 calls
HF: Form C                          :      0.267u      0.000s      0.016w     10 calls
ccenergy                            :    117.767u     13.117s      7.755w      1 calls
| F build                           :      6.617u      0.750s      0.572w     19 calls
| Wmbej build                       :     12.083u      1.283s      0.754w     19 calls
| | C->Wmbej                        :      0.667u      0.100s      0.040w     19 calls
| | F->Wmbej                        :      6.333u      0.667s      0.396w     19 calls
| | E->Wmbej                        :      1.117u      0.133s      0.070w     19 calls
| | X->Wmbej                        :      3.450u      0.317s      0.213w     19 calls
| Z                                 :      3.967u      0.317s      0.244w     19 calls
| T2 Build                          :     55.500u      6.167s      3.479w     19 calls
| | BT2                             :     37.650u      4.217s      2.363w     19 calls
| | FT2                             :      4.567u      0.517s      0.291w     19 calls
| | WmbejT2                         :      4.633u      0.550s      0.290w     19 calls
| | CT2                             :      3.717u      0.450s      0.238w     19 calls
cctriples                           :     18.650u      1.283s      1.093w      1 calls

**************************************************************************************
