
Host: b1-1.compute.lan

Timers On : Wed Mar 10 10:55:50 2021
Timers Off: Wed Mar 10 10:58:13 2021

Wall Time:      143.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     20.533u      0.433s      1.355w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :      5.667u      0.150s      0.294w      1 calls
SAD Guess                           :      5.500u      0.150s      0.285w      1 calls
HF: Form G                          :     42.450u      0.867s      2.165w     14 calls
JK: D                               :      0.000u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.183u      0.000s      0.009w     14 calls
JK: JK                              :     41.883u      0.867s      2.138w     14 calls
PK computes JK                      :     41.883u      0.867s      2.138w     14 calls
JK: AO2USO                          :      0.267u      0.000s      0.014w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      4.433u      0.117s      0.276w     13 calls
DIISManager::add_entry              :      4.033u      0.083s      0.255w     13 calls
DIISManager::extrapolate            :      0.167u      0.033s      0.008w     13 calls
bMatrix setup                       :      0.050u      0.017s      0.004w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     13 calls
New vector                          :      0.117u      0.017s      0.003w     13 calls
HF: Form C                          :      0.583u      0.000s      0.030w     13 calls
ccenergy                            :    783.900u     46.350s     62.217w      1 calls
F build                             :     34.017u      1.650s      4.683w     24 calls
Wmbej build                         :    106.833u      5.350s      5.696w     24 calls
C->Wmbej                            :      8.933u      0.500s      0.491w     24 calls
F->Wmbej                            :     53.883u      2.833s      2.862w     24 calls
E->Wmbej                            :      8.483u      0.633s      0.456w     24 calls
X->Wmbej                            :     31.533u      1.167s      1.673w     24 calls
Z                                   :     24.650u      1.233s      1.296w     24 calls
T2 Build                            :    511.050u     32.700s     44.321w     24 calls
BT2                                 :    357.517u     25.500s     35.043w     24 calls
FT2                                 :     66.533u      2.467s      4.500w     24 calls
WmbejT2                             :     35.283u      1.783s      2.039w     24 calls
CT2                                 :     26.800u      1.800s      1.434w     24 calls
cctriples                           :    299.117u      8.700s     15.405w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     20.533u      0.433s      1.355w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :      5.667u      0.150s      0.294w      1 calls
| SAD Guess                         :      5.500u      0.150s      0.285w      1 calls
HF: Form G                          :     42.450u      0.867s      2.165w     14 calls
| JK: D                             :      0.000u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.183u      0.000s      0.009w     14 calls
| JK: JK                            :     41.883u      0.867s      2.138w     14 calls
| | PK computes JK                  :     41.883u      0.867s      2.138w     14 calls
| JK: AO2USO                        :      0.267u      0.000s      0.014w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      4.433u      0.117s      0.276w     13 calls
| DIISManager::add_entry            :      4.033u      0.083s      0.255w     13 calls
| DIISManager::extrapolate          :      0.167u      0.033s      0.008w     13 calls
| | bMatrix setup                   :      0.050u      0.017s      0.004w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.117u      0.017s      0.003w     13 calls
HF: Form C                          :      0.583u      0.000s      0.030w     13 calls
ccenergy                            :    783.900u     46.350s     62.217w      1 calls
| F build                           :     34.017u      1.650s      4.683w     24 calls
| Wmbej build                       :    106.833u      5.350s      5.696w     24 calls
| | C->Wmbej                        :      8.933u      0.500s      0.491w     24 calls
| | F->Wmbej                        :     53.883u      2.833s      2.862w     24 calls
| | E->Wmbej                        :      8.483u      0.633s      0.456w     24 calls
| | X->Wmbej                        :     31.533u      1.167s      1.673w     24 calls
| Z                                 :     24.650u      1.233s      1.296w     24 calls
| T2 Build                          :    511.050u     32.700s     44.321w     24 calls
| | BT2                             :    357.517u     25.500s     35.043w     24 calls
| | FT2                             :     66.533u      2.467s      4.500w     24 calls
| | WmbejT2                         :     35.283u      1.783s      2.039w     24 calls
| | CT2                             :     26.800u      1.800s      1.434w     24 calls
cctriples                           :    299.117u      8.700s     15.405w      1 calls

**************************************************************************************
