
Host: d2-13.compute.lan

Timers On : Wed Mar 10 10:55:51 2021
Timers Off: Wed Mar 10 10:59:18 2021

Wall Time:      207.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     23.917u      0.617s      1.583w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.005w      1 calls
HF: Guess                           :      6.017u      0.300s      0.317w      1 calls
SAD Guess                           :      5.833u      0.300s      0.308w      1 calls
HF: Form G                          :     31.817u      1.617s      1.672w     14 calls
JK: D                               :      0.050u      0.000s      0.002w     14 calls
JK: USO2AO                          :      0.233u      0.017s      0.012w     14 calls
JK: JK                              :     31.233u      1.583s      1.641w     14 calls
PK computes JK                      :     31.233u      1.583s      1.641w     14 calls
JK: AO2USO                          :      0.250u      0.017s      0.014w     14 calls
HF: Form F                          :      0.067u      0.000s      0.002w     14 calls
HF: Form D                          :      0.017u      0.000s      0.002w     14 calls
HF: DIIS                            :      0.967u      0.033s      0.053w     13 calls
DIISManager::add_entry              :      0.317u      0.000s      0.015w     13 calls
DIISManager::extrapolate            :      0.383u      0.017s      0.019w     13 calls
bMatrix setup                       :      0.250u      0.000s      0.012w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.117u      0.017s      0.006w     13 calls
HF: Form C                          :      1.500u      0.050s      0.076w     13 calls
ccenergy                            :   1294.400u    119.650s     83.020w      1 calls
F build                             :     98.717u      7.717s      6.572w     24 calls
Wmbej build                         :    213.050u     19.500s     12.431w     24 calls
C->Wmbej                            :     10.300u      1.333s      0.631w     24 calls
F->Wmbej                            :    115.400u     11.183s      6.752w     24 calls
E->Wmbej                            :     16.933u      1.900s      1.002w     24 calls
X->Wmbej                            :     63.083u      4.367s      3.619w     24 calls
Z                                   :     53.017u      4.267s      3.049w     24 calls
T2 Build                            :    726.383u     68.733s     47.849w     24 calls
BT2                                 :    441.333u     44.667s     31.227w     24 calls
FT2                                 :     97.350u      8.250s      5.765w     24 calls
WmbejT2                             :     79.900u      6.067s      4.591w     24 calls
CT2                                 :     55.250u      5.883s      3.248w     24 calls
cctriples                           :    951.250u     47.733s     53.025w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     23.917u      0.617s      1.583w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.005w      1 calls
HF: Guess                           :      6.017u      0.300s      0.317w      1 calls
| SAD Guess                         :      5.833u      0.300s      0.308w      1 calls
HF: Form G                          :     31.817u      1.617s      1.672w     14 calls
| JK: D                             :      0.050u      0.000s      0.002w     14 calls
| JK: USO2AO                        :      0.233u      0.017s      0.012w     14 calls
| JK: JK                            :     31.233u      1.583s      1.641w     14 calls
| | PK computes JK                  :     31.233u      1.583s      1.641w     14 calls
| JK: AO2USO                        :      0.250u      0.017s      0.014w     14 calls
HF: Form F                          :      0.067u      0.000s      0.002w     14 calls
HF: Form D                          :      0.017u      0.000s      0.002w     14 calls
HF: DIIS                            :      0.967u      0.033s      0.053w     13 calls
| DIISManager::add_entry            :      0.317u      0.000s      0.015w     13 calls
| DIISManager::extrapolate          :      0.383u      0.017s      0.019w     13 calls
| | bMatrix setup                   :      0.250u      0.000s      0.012w     13 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     13 calls
| | New vector                      :      0.117u      0.017s      0.006w     13 calls
HF: Form C                          :      1.500u      0.050s      0.076w     13 calls
ccenergy                            :   1294.400u    119.650s     83.020w      1 calls
| F build                           :     98.717u      7.717s      6.572w     24 calls
| Wmbej build                       :    213.050u     19.500s     12.431w     24 calls
| | C->Wmbej                        :     10.300u      1.333s      0.631w     24 calls
| | F->Wmbej                        :    115.400u     11.183s      6.752w     24 calls
| | E->Wmbej                        :     16.933u      1.900s      1.002w     24 calls
| | X->Wmbej                        :     63.083u      4.367s      3.619w     24 calls
| Z                                 :     53.017u      4.267s      3.049w     24 calls
| T2 Build                          :    726.383u     68.733s     47.849w     24 calls
| | BT2                             :    441.333u     44.667s     31.227w     24 calls
| | FT2                             :     97.350u      8.250s      5.765w     24 calls
| | WmbejT2                         :     79.900u      6.067s      4.591w     24 calls
| | CT2                             :     55.250u      5.883s      3.248w     24 calls
cctriples                           :    951.250u     47.733s     53.025w      1 calls

**************************************************************************************
