
Host: c1-24.compute.lan

Timers On : Mon Mar  8 10:14:51 2021
Timers Off: Mon Mar  8 13:07:14 2021

Wall Time:    10342.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :    484.300u     25.550s    305.884w    100 calls
HF: Form core H                     :      0.150u      0.333s      4.938w    100 calls
HF: Form S/X                        :      0.150u      0.033s      0.104w    100 calls
HF: Guess                           :     36.283u      0.133s     21.806w    100 calls
SAD Guess                           :     33.883u      0.133s     20.316w    100 calls
HF: Form G                          :    317.317u      0.183s    190.273w   1342 calls
JK: D                               :      0.033u      0.000s      0.033w   1342 calls
JK: USO2AO                          :      1.217u      0.017s      0.728w   1342 calls
JK: JK                              :    313.133u      0.067s    187.999w   1342 calls
PK computes JK                      :    313.133u      0.067s    187.994w   1342 calls
JK: AO2USO                          :      2.650u      0.033s      1.311w   1342 calls
HF: Form F                          :      0.067u      0.000s      0.043w   1342 calls
HF: Form D                          :      0.083u      0.017s      0.043w   1342 calls
HF: DIIS                            :      1.917u      0.500s      2.457w   1242 calls
DIISManager::add_entry              :      0.400u      0.150s      1.085w   1242 calls
DIISManager::extrapolate            :      0.550u      0.283s      0.562w   1242 calls
bMatrix setup                       :      0.233u      0.050s      0.255w   1242 calls
bMatrix pseudoinverse               :      0.150u      0.033s      0.068w   1242 calls
New vector                          :      0.150u      0.200s      0.230w   1242 calls
HF: Form C                          :      2.400u      0.267s      1.656w   1242 calls
ccenergy                            :   3332.467u   2292.000s   4517.010w    100 calls
F build                             :    316.733u     89.983s    243.750w   2016 calls
Wmbej build                         :    625.733u    290.683s    550.077w   2016 calls
C->Wmbej                            :     12.767u     22.000s     20.839w   2016 calls
F->Wmbej                            :    303.550u    166.950s    282.311w   2016 calls
E->Wmbej                            :     54.117u     32.333s     52.223w   2016 calls
X->Wmbej                            :    237.033u     54.417s    174.790w   2016 calls
Z                                   :    135.183u     81.650s    129.982w   2016 calls
T2 Build                            :   1801.183u   1532.500s   2000.359w   2016 calls
BT2                                 :   1025.100u   1197.033s   1333.895w   2016 calls
FT2                                 :    259.317u     97.783s    214.077w   2016 calls
WmbejT2                             :    254.900u    100.467s    213.275w   2016 calls
CT2                                 :    103.683u     97.300s    120.491w   2016 calls
cctriples                           :   4922.850u    615.133s   3386.851w    100 calls

--------------------------------------------------------------------------------------
Total PK formation time             :    484.300u     25.550s    305.884w    100 calls
HF: Form core H                     :      0.150u      0.333s      4.938w    100 calls
HF: Form S/X                        :      0.150u      0.033s      0.104w    100 calls
HF: Guess                           :     36.283u      0.133s     21.806w    100 calls
| SAD Guess                         :     33.883u      0.133s     20.316w    100 calls
HF: Form G                          :    317.317u      0.183s    190.273w   1342 calls
| JK: D                             :      0.033u      0.000s      0.033w   1342 calls
| JK: USO2AO                        :      1.217u      0.017s      0.728w   1342 calls
| JK: JK                            :    313.133u      0.067s    187.999w   1342 calls
| | PK computes JK                  :    313.133u      0.067s    187.994w   1342 calls
| JK: AO2USO                        :      2.650u      0.033s      1.311w   1342 calls
HF: Form F                          :      0.067u      0.000s      0.043w   1342 calls
HF: Form D                          :      0.083u      0.017s      0.043w   1342 calls
HF: DIIS                            :      1.917u      0.500s      2.457w   1242 calls
| DIISManager::add_entry            :      0.400u      0.150s      1.085w   1242 calls
| DIISManager::extrapolate          :      0.550u      0.283s      0.562w   1242 calls
| | bMatrix setup                   :      0.233u      0.050s      0.255w   1242 calls
| | bMatrix pseudoinverse           :      0.150u      0.033s      0.068w   1242 calls
| | New vector                      :      0.150u      0.200s      0.230w   1242 calls
HF: Form C                          :      2.400u      0.267s      1.656w   1242 calls
ccenergy                            :   3332.467u   2292.000s   4517.010w    100 calls
| F build                           :    316.733u     89.983s    243.750w   2016 calls
| Wmbej build                       :    625.733u    290.683s    550.077w   2016 calls
| | C->Wmbej                        :     12.767u     22.000s     20.839w   2016 calls
| | F->Wmbej                        :    303.550u    166.950s    282.311w   2016 calls
| | E->Wmbej                        :     54.117u     32.333s     52.223w   2016 calls
| | X->Wmbej                        :    237.033u     54.417s    174.790w   2016 calls
| Z                                 :    135.183u     81.650s    129.982w   2016 calls
| T2 Build                          :   1801.183u   1532.500s   2000.359w   2016 calls
| | BT2                             :   1025.100u   1197.033s   1333.895w   2016 calls
| | FT2                             :    259.317u     97.783s    214.077w   2016 calls
| | WmbejT2                         :    254.900u    100.467s    213.275w   2016 calls
| | CT2                             :    103.683u     97.300s    120.491w   2016 calls
cctriples                           :   4922.850u    615.133s   3386.851w    100 calls

**************************************************************************************
