
Host: b1-8.compute.lan

Timers On : Wed Mar 10 09:27:24 2021
Timers Off: Wed Mar 10 09:29:00 2021

Wall Time:       96.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     17.683u      0.450s      1.099w      1 calls
HF: Form core H                     :      0.067u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.002w      1 calls
HF: Guess                           :      4.350u      0.117s      0.225w      1 calls
SAD Guess                           :      4.217u      0.117s      0.218w      1 calls
HF: Form G                          :     32.400u      0.800s      1.658w     13 calls
JK: D                               :      0.000u      0.000s      0.001w     13 calls
JK: USO2AO                          :      0.200u      0.000s      0.008w     13 calls
JK: JK                              :     31.917u      0.783s      1.634w     13 calls
PK computes JK                      :     31.917u      0.783s      1.634w     13 calls
JK: AO2USO                          :      0.283u      0.000s      0.013w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.033u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.400u      0.017s      0.021w     12 calls
DIISManager::add_entry              :      0.117u      0.000s      0.005w     12 calls
DIISManager::extrapolate            :      0.100u      0.000s      0.007w     12 calls
bMatrix setup                       :      0.067u      0.000s      0.003w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.033u      0.000s      0.002w     12 calls
HF: Form C                          :      0.483u      0.000s      0.025w     12 calls
ccenergy                            :    561.583u     34.917s     31.772w      1 calls
F build                             :     30.267u      1.517s      2.047w     25 calls
Wmbej build                         :     75.650u      4.117s      3.994w     25 calls
C->Wmbej                            :      3.950u      0.283s      0.215w     25 calls
F->Wmbej                            :     38.300u      2.300s      2.028w     25 calls
E->Wmbej                            :      7.100u      0.617s      0.386w     25 calls
X->Wmbej                            :     23.000u      0.817s      1.191w     25 calls
Z                                   :     21.450u      0.917s      1.123w     25 calls
T2 Build                            :    347.567u     23.450s     19.734w     25 calls
BT2                                 :    244.600u     18.000s     14.267w     25 calls
FT2                                 :     28.567u      1.283s      1.495w     25 calls
WmbejT2                             :     30.650u      1.533s      1.617w     25 calls
CT2                                 :     22.500u      1.600s      1.208w     25 calls
cctriples                           :    258.400u      7.367s     13.294w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     17.683u      0.450s      1.099w      1 calls
HF: Form core H                     :      0.067u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.002w      1 calls
HF: Guess                           :      4.350u      0.117s      0.225w      1 calls
| SAD Guess                         :      4.217u      0.117s      0.218w      1 calls
HF: Form G                          :     32.400u      0.800s      1.658w     13 calls
| JK: D                             :      0.000u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.200u      0.000s      0.008w     13 calls
| JK: JK                            :     31.917u      0.783s      1.634w     13 calls
| | PK computes JK                  :     31.917u      0.783s      1.634w     13 calls
| JK: AO2USO                        :      0.283u      0.000s      0.013w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.033u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.400u      0.017s      0.021w     12 calls
| DIISManager::add_entry            :      0.117u      0.000s      0.005w     12 calls
| DIISManager::extrapolate          :      0.100u      0.000s      0.007w     12 calls
| | bMatrix setup                   :      0.067u      0.000s      0.003w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     12 calls
| | New vector                      :      0.033u      0.000s      0.002w     12 calls
HF: Form C                          :      0.483u      0.000s      0.025w     12 calls
ccenergy                            :    561.583u     34.917s     31.772w      1 calls
| F build                           :     30.267u      1.517s      2.047w     25 calls
| Wmbej build                       :     75.650u      4.117s      3.994w     25 calls
| | C->Wmbej                        :      3.950u      0.283s      0.215w     25 calls
| | F->Wmbej                        :     38.300u      2.300s      2.028w     25 calls
| | E->Wmbej                        :      7.100u      0.617s      0.386w     25 calls
| | X->Wmbej                        :     23.000u      0.817s      1.191w     25 calls
| Z                                 :     21.450u      0.917s      1.123w     25 calls
| T2 Build                          :    347.567u     23.450s     19.734w     25 calls
| | BT2                             :    244.600u     18.000s     14.267w     25 calls
| | FT2                             :     28.567u      1.283s      1.495w     25 calls
| | WmbejT2                         :     30.650u      1.533s      1.617w     25 calls
| | CT2                             :     22.500u      1.600s      1.208w     25 calls
cctriples                           :    258.400u      7.367s     13.294w      1 calls

**************************************************************************************
