
Host: b1-8.compute.lan

Timers On : Wed Mar 10 10:52:40 2021
Timers Off: Wed Mar 10 10:53:56 2021

Wall Time:       75.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     17.567u      0.450s      1.146w      1 calls
HF: Form core H                     :      0.083u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      4.317u      0.117s      0.223w      1 calls
SAD Guess                           :      4.183u      0.117s      0.216w      1 calls
HF: Form G                          :     34.183u      0.767s      1.748w     14 calls
JK: D                               :      0.033u      0.000s      0.001w     14 calls
JK: USO2AO                          :      0.200u      0.000s      0.009w     14 calls
JK: JK                              :     33.667u      0.767s      1.723w     14 calls
PK computes JK                      :     33.667u      0.767s      1.723w     14 calls
JK: AO2USO                          :      0.267u      0.000s      0.013w     14 calls
HF: Form F                          :      0.033u      0.000s      0.000w     14 calls
HF: Form D                          :      0.067u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.383u      0.000s      0.022w     13 calls
DIISManager::add_entry              :      0.083u      0.000s      0.005w     13 calls
DIISManager::extrapolate            :      0.083u      0.000s      0.007w     13 calls
bMatrix setup                       :      0.050u      0.000s      0.003w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     13 calls
New vector                          :      0.033u      0.000s      0.002w     13 calls
HF: Form C                          :      0.483u      0.000s      0.025w     13 calls
ccenergy                            :    580.150u     37.183s     34.310w      1 calls
F build                             :     28.550u      1.350s      1.664w     24 calls
Wmbej build                         :     72.833u      4.067s      3.845w     24 calls
C->Wmbej                            :      3.533u      0.350s      0.193w     24 calls
F->Wmbej                            :     37.767u      2.100s      1.994w     24 calls
E->Wmbej                            :      6.683u      0.617s      0.364w     24 calls
X->Wmbej                            :     21.900u      0.750s      1.136w     24 calls
Z                                   :     20.583u      1.050s      1.080w     24 calls
T2 Build                            :    375.933u     26.217s     23.107w     24 calls
BT2                                 :    269.200u     20.617s     17.409w     24 calls
FT2                                 :     33.983u      1.633s      1.808w     24 calls
WmbejT2                             :     31.617u      1.500s      1.707w     24 calls
CT2                                 :     21.617u      1.567s      1.162w     24 calls
cctriples                           :    263.600u      7.217s     13.549w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     17.567u      0.450s      1.146w      1 calls
HF: Form core H                     :      0.083u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      4.317u      0.117s      0.223w      1 calls
| SAD Guess                         :      4.183u      0.117s      0.216w      1 calls
HF: Form G                          :     34.183u      0.767s      1.748w     14 calls
| JK: D                             :      0.033u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.200u      0.000s      0.009w     14 calls
| JK: JK                            :     33.667u      0.767s      1.723w     14 calls
| | PK computes JK                  :     33.667u      0.767s      1.723w     14 calls
| JK: AO2USO                        :      0.267u      0.000s      0.013w     14 calls
HF: Form F                          :      0.033u      0.000s      0.000w     14 calls
HF: Form D                          :      0.067u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.383u      0.000s      0.022w     13 calls
| DIISManager::add_entry            :      0.083u      0.000s      0.005w     13 calls
| DIISManager::extrapolate          :      0.083u      0.000s      0.007w     13 calls
| | bMatrix setup                   :      0.050u      0.000s      0.003w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.033u      0.000s      0.002w     13 calls
HF: Form C                          :      0.483u      0.000s      0.025w     13 calls
ccenergy                            :    580.150u     37.183s     34.310w      1 calls
| F build                           :     28.550u      1.350s      1.664w     24 calls
| Wmbej build                       :     72.833u      4.067s      3.845w     24 calls
| | C->Wmbej                        :      3.533u      0.350s      0.193w     24 calls
| | F->Wmbej                        :     37.767u      2.100s      1.994w     24 calls
| | E->Wmbej                        :      6.683u      0.617s      0.364w     24 calls
| | X->Wmbej                        :     21.900u      0.750s      1.136w     24 calls
| Z                                 :     20.583u      1.050s      1.080w     24 calls
| T2 Build                          :    375.933u     26.217s     23.107w     24 calls
| | BT2                             :    269.200u     20.617s     17.409w     24 calls
| | FT2                             :     33.983u      1.633s      1.808w     24 calls
| | WmbejT2                         :     31.617u      1.500s      1.707w     24 calls
| | CT2                             :     21.617u      1.567s      1.162w     24 calls
cctriples                           :    263.600u      7.217s     13.549w      1 calls

**************************************************************************************
