
Host: c5-7.compute.lan

Timers On : Tue Mar  9 15:19:00 2021
Timers Off: Tue Mar  9 15:22:46 2021

Wall Time:      225.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     22.633u      0.417s      1.587w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.008w      1 calls
HF: Guess                           :      8.033u      0.100s      0.445w      1 calls
SAD Guess                           :      7.683u      0.100s      0.425w      1 calls
HF: Form G                          :     58.317u      0.817s      3.267w     22 calls
JK: D                               :      0.017u      0.000s      0.002w     22 calls
JK: USO2AO                          :      0.400u      0.000s      0.021w     22 calls
JK: JK                              :     57.250u      0.783s      3.208w     22 calls
PK computes JK                      :     57.233u      0.783s      3.208w     22 calls
JK: AO2USO                          :      0.533u      0.017s      0.028w     22 calls
HF: Form F                          :      0.117u      0.000s      0.004w     22 calls
HF: Form D                          :      0.033u      0.000s      0.003w     22 calls
HF: DIIS                            :      1.517u      0.117s      0.091w     21 calls
DIISManager::add_entry              :      0.367u      0.000s      0.018w     21 calls
DIISManager::extrapolate            :      0.617u      0.067s      0.033w     21 calls
bMatrix setup                       :      0.400u      0.050s      0.020w     21 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.002w     21 calls
New vector                          :      0.133u      0.017s      0.011w     21 calls
HF: Form C                          :      2.533u      0.017s      0.139w     21 calls
ccenergy                            :   1900.500u    139.333s    126.388w      1 calls
F build                             :     99.617u      5.933s     11.739w     38 calls
Wmbej build                         :    338.417u     22.983s     19.898w     38 calls
C->Wmbej                            :     15.500u      1.250s      0.921w     38 calls
F->Wmbej                            :    229.150u     15.200s     13.425w     38 calls
E->Wmbej                            :     29.383u      2.033s      1.722w     38 calls
X->Wmbej                            :     53.783u      3.767s      3.204w     38 calls
Z                                   :     77.117u      5.183s      4.565w     38 calls
T2 Build                            :   1037.167u     87.067s     69.301w     38 calls
BT2                                 :    624.650u     60.233s     45.024w     38 calls
FT2                                 :    169.633u      8.933s      9.871w     38 calls
WmbejT2                             :     83.100u      8.250s      5.053w     38 calls
CT2                                 :     84.567u      6.367s      5.004w     38 calls
cctriples                           :    728.467u     18.750s     40.102w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     22.633u      0.417s      1.587w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.008w      1 calls
HF: Guess                           :      8.033u      0.100s      0.445w      1 calls
| SAD Guess                         :      7.683u      0.100s      0.425w      1 calls
HF: Form G                          :     58.317u      0.817s      3.267w     22 calls
| JK: D                             :      0.017u      0.000s      0.002w     22 calls
| JK: USO2AO                        :      0.400u      0.000s      0.021w     22 calls
| JK: JK                            :     57.250u      0.783s      3.208w     22 calls
| | PK computes JK                  :     57.233u      0.783s      3.208w     22 calls
| JK: AO2USO                        :      0.533u      0.017s      0.028w     22 calls
HF: Form F                          :      0.117u      0.000s      0.004w     22 calls
HF: Form D                          :      0.033u      0.000s      0.003w     22 calls
HF: DIIS                            :      1.517u      0.117s      0.091w     21 calls
| DIISManager::add_entry            :      0.367u      0.000s      0.018w     21 calls
| DIISManager::extrapolate          :      0.617u      0.067s      0.033w     21 calls
| | bMatrix setup                   :      0.400u      0.050s      0.020w     21 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.002w     21 calls
| | New vector                      :      0.133u      0.017s      0.011w     21 calls
HF: Form C                          :      2.533u      0.017s      0.139w     21 calls
ccenergy                            :   1900.500u    139.333s    126.388w      1 calls
| F build                           :     99.617u      5.933s     11.739w     38 calls
| Wmbej build                       :    338.417u     22.983s     19.898w     38 calls
| | C->Wmbej                        :     15.500u      1.250s      0.921w     38 calls
| | F->Wmbej                        :    229.150u     15.200s     13.425w     38 calls
| | E->Wmbej                        :     29.383u      2.033s      1.722w     38 calls
| | X->Wmbej                        :     53.783u      3.767s      3.204w     38 calls
| Z                                 :     77.117u      5.183s      4.565w     38 calls
| T2 Build                          :   1037.167u     87.067s     69.301w     38 calls
| | BT2                             :    624.650u     60.233s     45.024w     38 calls
| | FT2                             :    169.633u      8.933s      9.871w     38 calls
| | WmbejT2                         :     83.100u      8.250s      5.053w     38 calls
| | CT2                             :     84.567u      6.367s      5.004w     38 calls
cctriples                           :    728.467u     18.750s     40.102w      1 calls

**************************************************************************************
