
Host: d1-14.compute.lan

Timers On : Tue Mar  9 15:35:30 2021
Timers Off: Tue Mar  9 15:40:17 2021

Wall Time:      287.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     22.767u      0.950s      1.915w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.006w      1 calls
HF: Guess                           :      6.100u      0.300s      0.352w      1 calls
SAD Guess                           :      5.950u      0.283s      0.342w      1 calls
HF: Form G                          :     61.433u      3.883s      3.455w     23 calls
JK: D                               :      0.033u      0.017s      0.003w     23 calls
JK: USO2AO                          :      0.483u      0.033s      0.025w     23 calls
JK: JK                              :     60.317u      3.717s      3.391w     23 calls
PK computes JK                      :     60.283u      3.717s      3.391w     23 calls
JK: AO2USO                          :      0.417u      0.100s      0.029w     23 calls
HF: Form F                          :      0.033u      0.000s      0.003w     23 calls
HF: Form D                          :      0.067u      0.000s      0.004w     23 calls
HF: DIIS                            :      1.583u      0.183s      0.090w     22 calls
DIISManager::add_entry              :      0.133u      0.050s      0.013w     22 calls
DIISManager::extrapolate            :      0.700u      0.100s      0.039w     22 calls
bMatrix setup                       :      0.400u      0.083s      0.024w     22 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     22 calls
New vector                          :      0.267u      0.017s      0.012w     22 calls
HF: Form C                          :      2.567u      0.050s      0.138w     22 calls
ccenergy                            :   2272.767u    248.300s    150.303w      1 calls
F build                             :    155.867u     14.000s     10.578w     38 calls
Wmbej build                         :    408.733u     43.600s     25.279w     38 calls
C->Wmbej                            :     13.533u      1.817s      0.856w     38 calls
F->Wmbej                            :    241.450u     28.767s     15.102w     38 calls
E->Wmbej                            :     29.450u      3.483s      1.841w     38 calls
X->Wmbej                            :    109.233u      7.967s      6.542w     38 calls
Z                                   :     91.600u      8.250s      5.547w     38 calls
T2 Build                            :   1290.600u    148.833s     87.910w     38 calls
BT2                                 :    811.867u    101.467s     58.585w     38 calls
FT2                                 :    172.433u     18.050s     10.590w     38 calls
WmbejT2                             :    142.350u     12.483s      8.666w     38 calls
CT2                                 :     83.067u      9.950s      5.199w     38 calls
cctriples                           :    863.633u     48.350s     50.324w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     22.767u      0.950s      1.915w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.006w      1 calls
HF: Guess                           :      6.100u      0.300s      0.352w      1 calls
| SAD Guess                         :      5.950u      0.283s      0.342w      1 calls
HF: Form G                          :     61.433u      3.883s      3.455w     23 calls
| JK: D                             :      0.033u      0.017s      0.003w     23 calls
| JK: USO2AO                        :      0.483u      0.033s      0.025w     23 calls
| JK: JK                            :     60.317u      3.717s      3.391w     23 calls
| | PK computes JK                  :     60.283u      3.717s      3.391w     23 calls
| JK: AO2USO                        :      0.417u      0.100s      0.029w     23 calls
HF: Form F                          :      0.033u      0.000s      0.003w     23 calls
HF: Form D                          :      0.067u      0.000s      0.004w     23 calls
HF: DIIS                            :      1.583u      0.183s      0.090w     22 calls
| DIISManager::add_entry            :      0.133u      0.050s      0.013w     22 calls
| DIISManager::extrapolate          :      0.700u      0.100s      0.039w     22 calls
| | bMatrix setup                   :      0.400u      0.083s      0.024w     22 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.002w     22 calls
| | New vector                      :      0.267u      0.017s      0.012w     22 calls
HF: Form C                          :      2.567u      0.050s      0.138w     22 calls
ccenergy                            :   2272.767u    248.300s    150.303w      1 calls
| F build                           :    155.867u     14.000s     10.578w     38 calls
| Wmbej build                       :    408.733u     43.600s     25.279w     38 calls
| | C->Wmbej                        :     13.533u      1.817s      0.856w     38 calls
| | F->Wmbej                        :    241.450u     28.767s     15.102w     38 calls
| | E->Wmbej                        :     29.450u      3.483s      1.841w     38 calls
| | X->Wmbej                        :    109.233u      7.967s      6.542w     38 calls
| Z                                 :     91.600u      8.250s      5.547w     38 calls
| T2 Build                          :   1290.600u    148.833s     87.910w     38 calls
| | BT2                             :    811.867u    101.467s     58.585w     38 calls
| | FT2                             :    172.433u     18.050s     10.590w     38 calls
| | WmbejT2                         :    142.350u     12.483s      8.666w     38 calls
| | CT2                             :     83.067u      9.950s      5.199w     38 calls
cctriples                           :    863.633u     48.350s     50.324w      1 calls

**************************************************************************************
