
Host: b1-18.compute.lan

Timers On : Wed Mar 10 10:57:40 2021
Timers Off: Wed Mar 10 11:02:42 2021

Wall Time:      302.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     19.683u      0.633s      1.704w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.006w      1 calls
HF: Guess                           :      8.850u      0.233s      0.496w      1 calls
SAD Guess                           :      8.717u      0.233s      0.489w      1 calls
HF: Form G                          :     85.167u      2.217s      5.367w     23 calls
JK: D                               :      0.033u      0.017s      0.005w     23 calls
JK: USO2AO                          :      0.633u      0.033s      0.037w     23 calls
JK: JK                              :     83.150u      2.133s      5.251w     23 calls
PK computes JK                      :     83.133u      2.133s      5.250w     23 calls
JK: AO2USO                          :      1.217u      0.033s      0.069w     23 calls
HF: Form F                          :      0.083u      0.017s      0.004w     23 calls
HF: Form D                          :      0.167u      0.000s      0.006w     23 calls
HF: DIIS                            :      2.133u      0.100s      0.122w     22 calls
DIISManager::add_entry              :      0.467u      0.017s      0.027w     22 calls
DIISManager::extrapolate            :      0.783u      0.083s      0.044w     22 calls
bMatrix setup                       :      0.467u      0.050s      0.029w     22 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.002w     22 calls
New vector                          :      0.250u      0.033s      0.012w     22 calls
HF: Form C                          :      2.483u      0.083s      0.143w     22 calls
ccenergy                            :   2543.967u    205.183s    167.027w      1 calls
F build                             :    166.983u     11.000s     12.691w     38 calls
Wmbej build                         :    467.467u     33.650s     26.131w     38 calls
C->Wmbej                            :     18.783u      1.900s      1.088w     38 calls
F->Wmbej                            :    307.017u     25.150s     17.294w     38 calls
E->Wmbej                            :     30.733u      2.233s      1.717w     38 calls
X->Wmbej                            :     99.900u      3.533s      5.416w     38 calls
Z                                   :    102.633u      6.867s      5.715w     38 calls
T2 Build                            :   1400.483u    127.683s     98.926w     38 calls
BT2                                 :    878.267u     95.400s     69.891w     38 calls
FT2                                 :    222.233u     15.700s     12.485w     38 calls
WmbejT2                             :    134.867u      6.383s      7.380w     38 calls
CT2                                 :     91.417u      6.667s      5.137w     38 calls
cctriples                           :    961.550u     28.833s     54.110w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     19.683u      0.633s      1.704w      1 calls
HF: Form core H                     :      0.100u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.006w      1 calls
HF: Guess                           :      8.850u      0.233s      0.496w      1 calls
| SAD Guess                         :      8.717u      0.233s      0.489w      1 calls
HF: Form G                          :     85.167u      2.217s      5.367w     23 calls
| JK: D                             :      0.033u      0.017s      0.005w     23 calls
| JK: USO2AO                        :      0.633u      0.033s      0.037w     23 calls
| JK: JK                            :     83.150u      2.133s      5.251w     23 calls
| | PK computes JK                  :     83.133u      2.133s      5.250w     23 calls
| JK: AO2USO                        :      1.217u      0.033s      0.069w     23 calls
HF: Form F                          :      0.083u      0.017s      0.004w     23 calls
HF: Form D                          :      0.167u      0.000s      0.006w     23 calls
HF: DIIS                            :      2.133u      0.100s      0.122w     22 calls
| DIISManager::add_entry            :      0.467u      0.017s      0.027w     22 calls
| DIISManager::extrapolate          :      0.783u      0.083s      0.044w     22 calls
| | bMatrix setup                   :      0.467u      0.050s      0.029w     22 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.002w     22 calls
| | New vector                      :      0.250u      0.033s      0.012w     22 calls
HF: Form C                          :      2.483u      0.083s      0.143w     22 calls
ccenergy                            :   2543.967u    205.183s    167.027w      1 calls
| F build                           :    166.983u     11.000s     12.691w     38 calls
| Wmbej build                       :    467.467u     33.650s     26.131w     38 calls
| | C->Wmbej                        :     18.783u      1.900s      1.088w     38 calls
| | F->Wmbej                        :    307.017u     25.150s     17.294w     38 calls
| | E->Wmbej                        :     30.733u      2.233s      1.717w     38 calls
| | X->Wmbej                        :     99.900u      3.533s      5.416w     38 calls
| Z                                 :    102.633u      6.867s      5.715w     38 calls
| T2 Build                          :   1400.483u    127.683s     98.926w     38 calls
| | BT2                             :    878.267u     95.400s     69.891w     38 calls
| | FT2                             :    222.233u     15.700s     12.485w     38 calls
| | WmbejT2                         :    134.867u      6.383s      7.380w     38 calls
| | CT2                             :     91.417u      6.667s      5.137w     38 calls
cctriples                           :    961.550u     28.833s     54.110w      1 calls

**************************************************************************************
