
Host: b1-1.compute.lan

Timers On : Wed Mar 10 12:55:45 2021
Timers Off: Wed Mar 10 13:24:01 2021

Wall Time:     1696.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     21.600u      0.317s      1.367w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.006w      1 calls
HF: Guess                           :      5.550u      0.117s      0.286w      1 calls
SAD Guess                           :      5.400u      0.100s      0.278w      1 calls
HF: Form G                          :     56.883u      1.283s      2.923w     23 calls
JK: D                               :      0.033u      0.000s      0.002w     23 calls
JK: USO2AO                          :      0.067u      0.000s      0.002w     23 calls
JK: JK                              :     56.700u      1.267s      2.914w     23 calls
PK computes JK                      :     56.700u      1.267s      2.913w     23 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w     23 calls
HF: Form F                          :      0.067u      0.000s      0.003w     23 calls
HF: Form D                          :      0.017u      0.000s      0.003w     23 calls
HF: DIIS                            :      4.683u      0.200s      0.254w     22 calls
DIISManager::add_entry              :      1.500u      0.083s      0.084w     22 calls
DIISManager::extrapolate            :      2.233u      0.100s      0.122w     22 calls
bMatrix setup                       :      1.567u      0.067s      0.086w     22 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.002w     22 calls
New vector                          :      0.600u      0.033s      0.034w     22 calls
HF: Form C                          :      3.783u      0.017s      0.192w     22 calls
ccenergy                            :   5640.150u    685.900s   1112.340w      1 calls
F build                             :    403.083u     20.167s     35.722w     51 calls
Wmbej build                         :   1182.433u     53.083s     62.108w     51 calls
C->Wmbej                            :     49.817u      3.683s      2.940w     51 calls
F->Wmbej                            :    661.067u     34.200s     34.802w     51 calls
E->Wmbej                            :    110.833u      5.800s      5.830w     51 calls
X->Wmbej                            :    330.400u      7.500s     16.921w     51 calls
Z                                   :    212.883u     13.067s     11.305w     51 calls
T2 Build                            :   3010.200u    553.417s    940.405w     51 calls
BT2                                 :   1189.100u    459.267s    810.920w     51 calls
FT2                                 :    721.917u     43.867s     69.878w     51 calls
WmbejT2                             :    463.467u     19.150s     24.327w     51 calls
CT2                                 :    343.750u     20.267s     19.724w     51 calls
cctriples                           :   2005.717u     47.717s    103.533w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     21.600u      0.317s      1.367w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.006w      1 calls
HF: Guess                           :      5.550u      0.117s      0.286w      1 calls
| SAD Guess                         :      5.400u      0.100s      0.278w      1 calls
HF: Form G                          :     56.883u      1.283s      2.923w     23 calls
| JK: D                             :      0.033u      0.000s      0.002w     23 calls
| JK: USO2AO                        :      0.067u      0.000s      0.002w     23 calls
| JK: JK                            :     56.700u      1.267s      2.914w     23 calls
| | PK computes JK                  :     56.700u      1.267s      2.913w     23 calls
| JK: AO2USO                        :      0.017u      0.000s      0.000w     23 calls
HF: Form F                          :      0.067u      0.000s      0.003w     23 calls
HF: Form D                          :      0.017u      0.000s      0.003w     23 calls
HF: DIIS                            :      4.683u      0.200s      0.254w     22 calls
| DIISManager::add_entry            :      1.500u      0.083s      0.084w     22 calls
| DIISManager::extrapolate          :      2.233u      0.100s      0.122w     22 calls
| | bMatrix setup                   :      1.567u      0.067s      0.086w     22 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.002w     22 calls
| | New vector                      :      0.600u      0.033s      0.034w     22 calls
HF: Form C                          :      3.783u      0.017s      0.192w     22 calls
ccenergy                            :   5640.150u    685.900s   1112.340w      1 calls
| F build                           :    403.083u     20.167s     35.722w     51 calls
| Wmbej build                       :   1182.433u     53.083s     62.108w     51 calls
| | C->Wmbej                        :     49.817u      3.683s      2.940w     51 calls
| | F->Wmbej                        :    661.067u     34.200s     34.802w     51 calls
| | E->Wmbej                        :    110.833u      5.800s      5.830w     51 calls
| | X->Wmbej                        :    330.400u      7.500s     16.921w     51 calls
| Z                                 :    212.883u     13.067s     11.305w     51 calls
| T2 Build                          :   3010.200u    553.417s    940.405w     51 calls
| | BT2                             :   1189.100u    459.267s    810.920w     51 calls
| | FT2                             :    721.917u     43.867s     69.878w     51 calls
| | WmbejT2                         :    463.467u     19.150s     24.327w     51 calls
| | CT2                             :    343.750u     20.267s     19.724w     51 calls
cctriples                           :   2005.717u     47.717s    103.533w      1 calls

**************************************************************************************
